Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2007	270
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2006	303
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2005	343
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2004	394
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2003	368
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2002	389
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2001	380
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2000	454
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1999	388
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1998	490
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1997	491
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1996	474
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1995	487
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1994	462
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1993	444
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1992	404
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1991	421
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1990	425
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1989	445
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1988	467
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1987	365
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1986	369
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1985	301
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1984	321
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1983	267
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1982	236
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1981	233
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	1980	212
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2022	336
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2021	315
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2020	313
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2019	314
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2018	309
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2017	354
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2016	346
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2015	332
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2014	375
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2013	395
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2012	425
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2011	383
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2010	403
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2009	400
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2008	455
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2007	400
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2006	446
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2005	448
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2004	445
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2003	512
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2002	434
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2001	430
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	2000	396
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1999	389
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1998	383
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1997	393
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1996	391
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1995	365
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1994	377
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1993	312
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1992	286
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1991	279
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1990	260
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1989	274
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1988	236
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1987	220
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1986	231
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1985	197
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1984	187
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1983	177
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1982	148
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1981	143
098  Suicidio y lesiones autoinfligidas	Hombres	De 30 a 39 años	Nacional	1980	152
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2022	273
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2021	281
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2020	275
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2019	263
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2018	236
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2017	246
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2016	275
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2015	259
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2014	293
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2013	285
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2012	274
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2011	268
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2010	262
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2009	244
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2008	262
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2007	242
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2006	219
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2005	249
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2004	230
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2003	197
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2002	176
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2001	193
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	2000	193
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1999	169
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1998	162
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1997	157
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1996	147
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1995	140
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1994	139
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1993	152
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1992	100
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1991	102
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1990	114
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1989	130
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1988	125
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1987	110
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1986	103
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1985	110
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1984	108
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1983	67
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1982	82
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1981	77
098  Suicidio y lesiones autoinfligidas	Hombres	De 40 a 44 años	Nacional	1980	63
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2022	332
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2021	318
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2020	301
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2019	310
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2018	298
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2017	291
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2016	266
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2015	276
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2014	337
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2013	319
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2012	269
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2011	229
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2010	238
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2009	264
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2008	239
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2007	208
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2006	217
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2005	185
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2004	219
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2003	184
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2002	177
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2001	148
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	2000	173
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1999	169
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1998	149
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1997	164
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1996	164
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1995	157
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1994	161
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1993	151
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1992	132
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1991	122
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1990	117
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1989	143
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1988	127
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1987	105
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1986	145
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1985	116
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1984	133
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1983	120
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1982	101
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1981	101
098  Suicidio y lesiones autoinfligidas	Hombres	De 45 a 49 años	Nacional	1980	101
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2022	352
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2021	323
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2020	323
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2019	301
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2018	280
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2017	305
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2016	288
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2015	279
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2014	344
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2013	340
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2012	247
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2011	234
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2010	243
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2009	216
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2008	225
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2007	167
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2006	158
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2005	170
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2004	195
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2003	188
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2002	185
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2001	152
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	2000	155
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1999	159
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1998	158
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1997	146
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1996	151
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1995	136
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1994	160
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1993	152
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1992	131
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1991	113
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1990	130
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1989	165
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1988	169
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1987	172
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1986	182
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1985	168
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1984	199
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1983	158
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1982	129
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1981	116
098  Suicidio y lesiones autoinfligidas	Hombres	De 50 a 54 años	Nacional	1980	120
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2022	354
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2021	305
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2020	277
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2019	260
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2018	275
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2017	254
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2016	242
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2015	251
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2014	236
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2013	237
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2012	228
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2011	180
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2010	179
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2009	196
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2008	199
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2007	165
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2006	171
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2005	157
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2004	146
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2003	164
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2002	181
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2001	137
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	2000	149
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1999	131
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1998	132
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1997	157
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1996	164
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1995	127
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1994	188
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1993	173
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1992	162
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1991	198
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1990	174
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1989	175
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1988	170
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1987	182
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1986	214
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1985	199
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1984	171
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1983	163
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1982	129
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1981	148
098  Suicidio y lesiones autoinfligidas	Hombres	De 55 a 59 años	Nacional	1980	115
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2022	297
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2021	268
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2020	239
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2019	207
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2018	196
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2017	170
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2016	191
098  Suicidio y lesiones autoinfligidas	Hombres	De 60 a 64 años	Nacional	2015	176
